Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-12-26,148.3,157.23,146.72,157.17,58582544.0,0.0,1.0,148.3,157.23,146.72,157.17,58582544.0
2018-12-24,148.15,151.55,146.59,146.83,37169232.0,0.0,1.0,148.15,151.55,146.59,146.83,37169232.0
2018-12-21,156.86,158.16,149.63,150.73,90820102.0,0.0,1.0,156.86,158.16,149.63,150.73,90820102.0
2018-12-20,160.4,162.11,155.3,156.83,64772960.0,0.0,1.0,160.4,162.11,155.3,156.83,64772960.0
2018-12-19,166.0,167.45,159.09,160.89,49047297.0,0.0,1.0,166.0,167.45,159.09,160.89,49047297.0
2018-12-18,165.38,167.53,164.39,166.07,33841518.0,0.0,1.0,165.38,167.53,164.39,166.07,33841518.0
2018-12-17,165.45,168.35,162.73,163.94,44287922.0,0.0,1.0,165.45,168.35,162.73,163.94,44287922.0
2018-12-14,169.0,169.08,165.28,165.48,40703710.0,0.0,1.0,169.0,169.08,165.28,165.48,40703710.0
2018-12-13,170.49,172.57,169.55,170.95,31897827.0,0.0,1.0,170.49,172.57,169.55,170.95,31897827.0
2018-12-12,170.4,171.92,169.02,169.1,35627674.0,0.0,1.0,170.4,171.92,169.02,169.1,35627674.0
2018-12-11,171.66,171.79,167.0,168.63,47281665.0,0.0,1.0,171.66,171.79,167.0,168.63,47281665.0
2018-12-10,165.0,170.09,163.33,169.6,62025994.0,0.0,1.0,165.0,170.09,163.33,169.6,62025994.0
2018-12-07,173.49,174.49,168.3,168.49,42281631.0,0.0,1.0,173.49,174.49,168.3,168.49,42281631.0
2018-12-06,171.76,174.78,170.42,174.72,43098410.0,0.0,1.0,171.76,174.78,170.42,174.72,43098410.0
2018-12-04,180.95,182.3899,176.27,176.69,41344282.0,0.0,1.0,180.95,182.3899,176.27,176.69,41344282.0
2018-12-03,184.46,184.94,181.21,184.82,40798002.0,0.0,1.0,184.46,184.94,181.21,184.82,40798002.0
2018-11-30,180.29,180.33,177.03,178.58,39531549.0,0.0,1.0,180.29,180.33,177.03,178.58,39531549.0
2018-11-29,182.66,182.8,177.7,179.55,41769992.0,0.0,1.0,182.66,182.8,177.7,179.55,41769992.0
2018-11-28,176.73,181.29,174.93,180.94,46062539.0,0.0,1.0,176.73,181.29,174.93,180.94,46062539.0
2018-11-27,171.51,174.77,170.88,174.24,41387377.0,0.0,1.0,171.51,174.77,170.88,174.24,41387377.0
2018-11-26,174.24,174.95,170.26,174.62,44998520.0,0.0,1.0,174.24,174.95,170.26,174.62,44998520.0
2018-11-23,174.94,176.595,172.1,172.29,23623972.0,0.0,1.0,174.94,176.595,172.1,172.29,23623972.0
2018-11-21,179.73,180.27,176.55,176.78,31124210.0,0.0,1.0,179.73,180.27,176.55,176.78,31124210.0
2018-11-20,178.37,181.47,175.51,176.98,67825247.0,0.0,1.0,178.37,181.47,175.51,176.98,67825247.0
2018-11-19,190.0,190.7,184.99,185.86,41920872.0,0.0,1.0,190.0,190.7,184.99,185.86,41920872.0
2018-11-16,190.5,194.9695,189.46,193.53,36928253.0,0.0,1.0,190.5,194.9695,189.46,193.53,36928253.0
2018-11-15,188.39,191.97,186.9,191.41,46478801.0,0.0,1.0,188.39,191.97,186.9,191.41,46478801.0
2018-11-14,193.9,194.48,185.93,186.8,60800957.0,0.0,1.0,193.9,194.48,185.93,186.8,60800957.0
2018-11-13,191.63,197.18,191.4501,192.23,46882936.0,0.0,1.0,191.63,197.18,191.4501,192.23,46882936.0
2018-11-12,199.0,199.85,193.79,194.17,51135518.0,0.0,1.0,199.0,199.85,193.79,194.17,51135518.0
2018-11-09,205.55,206.01,202.25,204.47,34365750.0,0.0,1.0,205.55,206.01,202.25,204.47,34365750.0
2018-11-08,209.98,210.12,206.75,208.49,25362636.0,0.73,1.0,209.98,210.12,206.75,208.49,25362636.0
2018-11-07,205.97,210.06,204.13,209.95,33424434.0,0.0,1.0,205.25133973807476,209.32706911385148,203.41775977440017,209.2174529203709,33424434.0
2018-11-06,201.92,204.72,201.69,203.77,31882881.0,0.0,1.0,201.215470796291,204.00570117579582,200.98627330083167,203.05901586846383,31882881.0
2018-11-05,204.3,204.39,198.17,201.59,66163669.0,0.0,1.0,203.58716661887013,203.67685259535418,197.47855510945416,200.88662221584937,66163669.0
2018-11-02,209.55,213.65,205.43,207.48,91328654.0,0.0,1.0,208.81884858044168,212.9045430647166,204.71322387917027,206.7560711213077,91328654.0
2018-11-01,219.05,222.36,216.81,222.22,58323180.0,0.0,1.0,218.2857016537616,221.58415256667627,216.05351735015776,221.444641047701,58323180.0
2018-10-31,216.88,220.45,216.62,218.86,38358933.0,0.0,1.0,216.12327310964537,219.680816843514,215.86418028869136,218.09636459229523,38358933.0
2018-10-30,211.15,215.18,209.27,213.3,36659990.0,0.0,1.0,210.4132659401587,214.429204664946,208.53982554249117,212.5557642672785,36659990.0
2018-10-29,219.19,219.69,206.09,212.24,45935520.0,0.0,1.0,218.42521317273685,218.92346859764842,205.37092104005356,211.49946276646594,45935520.0
2018-10-26,215.9,220.19,212.67,216.3,47258375.0,0.0,1.0,215.14669247681869,219.42172402256,211.92796243188988,215.54529681674796,47258375.0
2018-10-25,217.71,221.38,216.75,219.8,29855768.0,0.0,1.0,216.9503771149986,220.60757193384956,215.99372669916835,219.03308479112897,29855768.0
2018-10-24,222.6,224.23,214.54,215.09,40925163.0,0.0,1.0,221.8233151706338,223.44762785584552,213.79143772105917,214.33951868846194,40925163.0
2018-10-23,215.83,223.25,214.7,222.73,38767846.0,0.0,1.0,215.07693671733108,222.47104722301884,213.95087945703088,221.9528615811108,38767846.0
2018-10-22,219.79,223.36,218.94,220.65,28792082.0,0.0,1.0,219.02311968263072,222.58066341649942,218.17608546028106,219.88011901347866,28792082.0
2018-10-19,218.06,221.26,217.43,219.31,33078726.0,0.0,1.0,218.06,221.26,217.43,219.31,33078726.0
2018-10-18,217.86,219.74,213.0,216.02,32581315.0,0.0,1.0,217.09985374247208,218.9732941401396,212.25681101233153,215.26627377879745,32581315.0
2018-10-17,222.3,222.64,219.34,221.19,22885397.0,0.0,1.0,221.52436191568685,221.86317560462672,218.57468980021034,220.41823487238315,22885397.0
2018-10-16,218.93,222.99,216.7627,222.15,29183963.0,0.0,1.0,218.16612035178284,222.21195440206483,216.0063823869611,221.3748852882134,29183963.0
2018-10-15,221.16,221.83,217.27,217.36,30791007.0,0.0,1.0,220.38833954688846,221.05600181627,216.5119123410764,216.6015983175605,30791007.0
2018-10-12,220.42,222.88,216.84,222.11,40337851.0,0.0,1.0,219.65092151801932,222.10233820858429,216.08341267565245,221.33502485422048,40337851.0
2018-10-11,214.52,219.5,212.32,214.45,53124392.0,0.0,1.0,213.77150750406273,218.73413153618202,211.5791836344518,213.7017517445751,53124392.0
2018-10-10,225.46,226.35,216.05,216.36,41990554.0,0.0,1.0,224.67333620112802,225.56023085747063,215.29616910429218,215.60508746773735,41990554.0
2018-10-09,223.64,227.27,222.2462,226.87,26891029.0,0.0,1.0,222.85968645444987,226.47702083930793,221.47074963196636,226.07841649937868,26891029.0
2018-10-08,222.21,224.8,220.2,223.77,29663923.0,0.0,1.0,221.43467593920278,224.01563904024474,219.43168913105822,222.9892328649269,29663923.0
2018-10-05,227.96,228.41,220.58,224.29,33580463.0,0.0,1.0,227.1646133256859,227.61304320810632,219.81036325399106,223.5074185068349,33580463.0
2018-10-04,230.78,232.35,226.73,227.99,32042000.0,0.0,1.0,229.97477392218718,231.53929595640955,225.9389049804034,227.1945086511806,32042000.0
2018-10-03,230.05,233.47,229.78,232.07,28654799.0,0.0,1.0,229.2473210018163,232.65538810821147,228.97826307236403,231.26027291845904,28654799.0
2018-10-02,227.25,230.0,226.63,229.28,24788170.0,0.0,1.0,226.45709062231145,229.19749545932513,225.8392538954211,228.48000764745245,24788170.0
2018-10-01,227.95,229.42,226.35,227.26,23600802.0,0.0,1.0,227.15464821718766,228.6195191664277,225.56023085747063,226.46705573080968,23600802.0
